apid,name,x,y,floor
1,f15ap12,0,0,15
2,f1ap2,397,149,1
3,f1ap1,298,149,1
4,f1ap4,0,0,1
5,f1ap5,900,462,1
6,f1ap6,496,475,1
7,f1ap3,248,0,1
8,f1ap8,75,299,1
9,f1ap9,95,500,1
10,f2ap1,0,0,2
11,f2ap2,114,171,2
12,f2ap3,114,390,2
13,f2ap4,9,500,2
14,f2ap5,499,500,2
15,f2ap6,385,390,2
16,f2ap7,385,171,2
17,f2ap8,401,24,2
18,f2ap9,900,425,2
19,f2ap10,891,259,2
20,f2ap11,859,28,2
22,f15ap11,869,290,15
23,f3ap1,0,10,3
24,f3ap2,121,6,3
25,f3ap3,238,5,3
26,f3ap4,358,9,3
27,f3ap5,82,281,3
28,f3ap6,274,278,3
29,f3ap7,1,452,3
30,f3ap8,111,454,3
31,f3ap9,234,454,3
32,f3ap10,349,454,3
33,f3ap11,521,445,3
34,f3ap12,896,500,3
35,f3ap13,890,405,3
36,f3ap14,723,389,3
37,f3ap15,880,293,3
38,f3ap16,717,229,3
39,f3ap17,564,300,3
40,f3ap18,895,192,3
41,f3ap19,559,228,3
42,f3ap20,900,70,3
43,f3ap21,490,152,3
44,f3ap22,479,77,3
45,f3ap23,538,0,3
46,f3ap24,691,4,3
47,f4ap1,900,16,4
48,f4ap2,735,0,4
49,f4ap3,786,314,4
50,f4ap4,652,328,4
51,f4ap5,557,15,4
52,f4ap6,557,339,4
53,f4ap7,363,9,4
54,f4ap8,215,15,4
55,f4ap9,6,247,4
56,f4ap10,0,470,4
57,f4ap11,198,500,4
58,f5ap1,900,20,5
59,f5ap2,793,17,5
60,f5ap3,702,18,5
61,f5ap4,537,13,5
62,f5ap5,379,17,5
63,f5ap6,205,0,5
64,f5ap7,397,255,5
65,f5ap8,589,255,5
66,f5ap9,735,207,5
67,f5ap10,0,379,5
68,f5ap11,194,461,5
69,f5ap12,411,477,5
70,f5ap13,542,458,5
71,f5ap14,748,498,5
72,f5ap15,878,500,5
73,f6ap1,643,3,6
74,f6ap2,762,0,6
75,f6ap3,900,3,6
76,f6ap4,638,98,6
77,f6ap5,760,98,6
78,f6ap6,900,103,6
79,f6ap7,758,186,6
80,f6ap8,535,189,6
81,f6ap9,403,180,6
82,f6ap10,172,196,6
83,f6ap11,0,198,6
86,f6ap14,662,228,6
87,f6ap15,753,356,6
88,f6ap16,0,483,6
89,f6ap17,115,483,6
90,f6ap18,248,488,6
91,f6ap19,400,489,6
92,f6ap20,515,500,6
93,f6ap21,635,489,6
94,f6ap22,780,491,6
95,f6ap23,897,500,6
96,f7ap1,542,5,7
97,f7ap2,665,2,7
98,f7ap3,891,0,7
99,f7ap4,898,112,7
100,f7ap5,670,119,7
101,f7ap6,547,117,7
102,f7ap7,330,115,7
103,f7ap8,216,112,7
104,f7ap9,109,113,7
105,f7ap10,0,113,7
108,f7ap13,636,188,7
109,f7ap14,854,263,7
110,f7ap15,479,286,7
111,f7ap16,337,293,7
112,f7ap17,213,293,7
113,f7ap18,116,294,7
114,f7ap19,9,296,7
115,f7ap20,558,380,7
116,f7ap21,556,494,7
117,f7ap22,900,500,7
118,f7ap23,888,372,7
120,f8ap1,135,14,8
121,f8ap2,374,15,8
122,f8ap3,888,0,8
