apid,number
1,22
4,2544
5,1737
6,1200
7,769
8,1007
9,744
10,313
11,1337
12,832
13,224
14,1283
15,308
16,2240
17,1839
18,1255
19,798
20,1380
22,13
23,212
25,505
26,119
27,208
28,452
29,198
30,300
31,341
32,193
33,683
34,547
35,667
36,2096
37,234
38,1033
39,451
40,928
41,641
42,1662
43,622
44,533
45,396
46,857
47,1349
48,3084
49,1480
50,447
51,1091
52,416
53,730
54,621
55,535
56,300
57,477
58,407
59,825
60,720
61,671
62,782
63,549
64,568
65,365
66,497
67,365
68,247
69,211
70,156
72,845
73,1341
74,602
75,519
76,1302
77,863
78,1022
79,848
80,1532
81,1328
82,932
83,859
86,704
87,715
88,1227
89,1425
90,733
91,1360
92,540
93,854
94,702
95,593
96,508
97,571
98,453
99,803
100,1110
101,782
102,427
103,323
104,376
105,361
108,1190
109,2685
110,1721
111,138
112,402
113,26
114,40
115,2469
116,1016
117,2166
118,2349
120,591
121,1347
122,957
123,1346
124,820
125,478
126,386
127,895
128,1210
129,631
130,735
131,2108
132,787
133,737
134,1996
135,492
136,1273
137,1140
138,2614
139,1377
140,980
141,1228
142,2157
143,952
145,927
148,1065
149,2136
150,1063
151,1053
152,1757
153,1027
154,3730
155,4178
156,2573
157,1848
158,1920
159,1222
160,1114
161,2077
163,2282
164,2993
165,3109
166,2641
167,4048
168,3824
169,1942
170,1902
171,734
172,654
174,168
175,765
176,1070
177,616
178,765
179,189
180,854
181,2399
182,1048
183,784
184,349
185,598
186,3424
187,2066
188,1907
189,1138
190,1671
191,1307
192,1582
193,1340
195,1100
196,1357
197,1200
198,1530
199,1112
200,1454
201,690
202,3226
203,3832
204,3401
205,3093
206,3503
207,831
208,693
209,762
211,3367
212,2313
213,1007
214,692
215,424
216,691
217,462
218,2790
219,2029
220,2521
221,4512
222,4475
223,2646
224,1268
225,426
227,1149
228,580
229,693
230,651
231,515
232,620
233,990
234,321
235,203
236,372
237,79
238,956
239,304
240,75
241,826
242,431
243,206
244,253
245,282
246,4064
247,476
248,3482
249,283
250,1936
251,2943
252,36
253,125
254,44
255,57
256,41
257,47
258,49
260,366
388,71
389,34
