source,target,number
190,219,81
219,223,167
223,205,76
45,46,2
205,223,119
223,190,46
190,223,46
223,221,451
221,190,3
223,220,352
221,223,391
220,206,305
221,206,392
206,223,244
221,220,460
220,221,474
221,222,641
219,224,80
224,218,28
218,190,41
148,149,8
190,225,12
225,218,8
219,205,124
220,223,351
206,221,446
206,220,268
222,221,514
190,224,80
224,190,75
205,224,99
224,205,99
205,219,137
219,218,42
223,206,316
218,205,95
205,225,15
225,223,14
223,225,10
225,205,17
205,190,83
189,188,14
225,224,13
224,219,94
218,219,47
218,224,43
205,221,36
190,205,96
221,205,29
229,230,1
206,222,135
223,219,149
20,41,2
39,40,1
36,39,1
224,223,52
223,224,40
205,220,63
166,167,111
166,164,90
164,166,156
166,165,434
222,206,71
168,152,4
187,198,1
182,161,1
223,222,61
181,168,60
168,164,108
164,169,45
149,164,186
164,167,332
167,181,108
149,181,81
181,167,124
167,164,372
164,149,185
167,168,132
149,168,47
164,181,135
167,166,150
168,181,63
167,169,51
181,164,144
167,149,162
168,169,36
169,168,42
169,181,20
181,149,105
140,145,2
145,149,4
167,165,29
224,225,15
225,219,13
163,168,9
169,167,70
168,161,92
161,164,65
164,161,65
168,149,54
149,167,177
180,161,17
156,168,48
150,163,4
169,164,35
220,222,55
164,168,83
218,220,33
220,218,26
218,223,47
165,166,297
152,153,15
138,139,14
139,140,2
140,150,1
150,145,4
151,141,1
141,142,5
166,156,40
165,161,10
161,180,13
161,163,12
163,161,11
161,168,97
219,221,97
168,167,154
169,161,32
169,149,29
156,180,8
167,161,122
161,169,33
193,188,5
219,190,88
180,156,7
168,180,8
161,167,132
181,161,41
161,149,23
225,221,3
155,161,10
168,156,45
181,169,21
149,169,14
220,219,80
221,219,67
219,206,27
180,168,9
222,224,6
205,218,109
165,164,32
164,165,30
206,218,27
161,154,15
154,161,15
161,165,18
181,180,10
190,220,28
220,224,13
224,221,23
180,167,13
190,221,18
221,224,6
224,206,2
222,223,34
166,149,33
223,218,33
150,180,10
154,168,3
149,163,3
169,180,8
153,152,9
42,40,9
143,152,5
218,225,8
165,168,17
180,164,8
152,143,5
167,180,9
180,169,4
190,218,47
19,16,2
149,166,50
222,220,15
222,219,7
225,190,17
150,181,8
160,168,16
53,54,1
161,181,44
181,150,2
150,168,5
219,220,106
221,225,1
156,150,5
150,165,5
165,156,17
156,160,4
160,165,8
165,181,10
161,160,29
160,161,25
180,165,2
219,225,14
181,166,15
205,206,69
160,156,9
220,205,50
206,205,56
151,150,5
156,161,45
166,168,34
20,11,1
155,168,23
155,180,2
161,155,9
181,163,6
163,181,14
167,156,53
222,218,4
225,206,2
169,156,20
156,166,38
20,17,3
168,159,51
159,168,58
157,159,44
166,176,24
167,157,37
157,167,26
160,159,41
159,167,36
157,161,38
161,157,41
157,160,111
160,157,106
169,143,10
143,157,11
157,158,13
158,167,15
165,177,7
169,152,3
166,177,13
177,155,11
155,166,34
166,155,25
155,156,57
171,166,7
166,154,10
154,164,14
164,152,2
152,145,2
145,176,3
176,168,22
168,176,19
145,166,8
166,175,11
175,166,8
165,182,4
182,177,1
152,168,14
167,160,29
160,167,39
167,159,45
159,160,54
213,214,3
160,177,4
177,161,6
143,175,3
175,157,8
156,167,49
158,169,10
156,143,17
175,167,6
169,157,11
